"","TAX","GOV","TIME_FORMAT","obsTime","obsValue"
"1","TOTALTAX","FED","P1Y","1973",163846
"2","TOTALTAX","FED","P1Y","1974",182902
"3","TOTALTAX","FED","P1Y","1975",188458
"4","TOTALTAX","FED","P1Y","1976",201357
"5","TOTALTAX","FED","P1Y","1977",241886
"6","TOTALTAX","FED","P1Y","1978",271436
"7","TOTALTAX","FED","P1Y","1979",315365
"8","TOTALTAX","FED","P1Y","1980",346840
"9","TOTALTAX","FED","P1Y","1981",402489
"10","TOTALTAX","FED","P1Y","1982",400550
"11","TOTALTAX","FED","P1Y","1983",376054
"12","TOTALTAX","FED","P1Y","1984",410223
"13","TOTALTAX","FED","P1Y","1985",450563
"14","TOTALTAX","FED","P1Y","1986",465419
"15","TOTALTAX","FED","P1Y","1987",531588
"16","TOTALTAX","FED","P1Y","1988",554841
"17","TOTALTAX","FED","P1Y","1989",608276
"18","TOTALTAX","FED","P1Y","1990",632160
"19","TOTALTAX","FED","P1Y","1991",628116
"20","TOTALTAX","FED","P1Y","1992",656705
"21","TOTALTAX","FED","P1Y","1993",712171
"22","TOTALTAX","FED","P1Y","1994",778571.2
"23","TOTALTAX","FED","P1Y","1995",840645.17
"24","TOTALTAX","FED","P1Y","1996",934446.8
"25","TOTALTAX","FED","P1Y","1997",1035654.8
"26","TOTALTAX","FED","P1Y","1998",1120417
"27","TOTALTAX","FED","P1Y","1999",1203307.2
"28","TOTALTAX","FED","P1Y","2000",1316632.06
"29","TOTALTAX","FED","P1Y","2001",1254773.87
"30","TOTALTAX","FED","P1Y","2002",1078486.14
"31","TOTALTAX","FED","P1Y","2003",1075839.97
"32","TOTALTAX","FED","P1Y","2004",1165211.58
"33","TOTALTAX","FED","P1Y","2005",1392812.25
"34","TOTALTAX","FED","P1Y","2006",1562608.55
"35","TOTALTAX","FED","P1Y","2007",1634127.81
"36","TOTALTAX","FED","P1Y","2008",1517778.93
"37","TOTALTAX","FED","P1Y","2009",1144276.4
"38","TOTALTAX","FED","P1Y","2010",1288676.86
"39","TOTALTAX","FED","P1Y","2011",1488047.33
"40","TOTALTAX","FED","P1Y","2012",1587024.17
"41","TOTALTAX","FED","P1Y","2013",1765757.57
"42","TOTALTAX","FED","P1Y","2014",1918871.69
"43","TOTALTAX","FED","P1Y","2015",2041407.02
"44","TOTALTAX","FED","P1Y","2016",2054530.09
"45","TOTALTAX","FED","P1Y","2017",2328070
"46","TOTALTAX","FED","P1Y","2018",1980351.64
"47","TOTALTAX","STATE","P1Y","1973",68686
"48","TOTALTAX","STATE","P1Y","1974",131164
"49","TOTALTAX","STATE","P1Y","1975",80825
"50","TOTALTAX","STATE","P1Y","1976",157274
"51","TOTALTAX","STATE","P1Y","1977",101517
"52","TOTALTAX","STATE","P1Y","1978",194077
"53","TOTALTAX","STATE","P1Y","1979",125342
"54","TOTALTAX","STATE","P1Y","1980",137633
"55","TOTALTAX","STATE","P1Y","1981",150239
"56","TOTALTAX","STATE","P1Y","1982",163106
"57","TOTALTAX","STATE","P1Y","1983",171881
"58","TOTALTAX","STATE","P1Y","1984",197243
"59","TOTALTAX","STATE","P1Y","1985",215684
"60","TOTALTAX","STATE","P1Y","1986",228445
"61","TOTALTAX","STATE","P1Y","1987",247275
"62","TOTALTAX","STATE","P1Y","1988",264468
"63","TOTALTAX","STATE","P1Y","1989",284555
"64","TOTALTAX","STATE","P1Y","1990",309698.26
"65","TOTALTAX","STATE","P1Y","1991",318718.77
"66","TOTALTAX","STATE","P1Y","1992",343258.33
"67","TOTALTAX","STATE","P1Y","1993",361766.94
"68","TOTALTAX","STATE","P1Y","1994",385542.34
"69","TOTALTAX","STATE","P1Y","1995",406510.63
"70","TOTALTAX","STATE","P1Y","1996",431464.72
"71","TOTALTAX","STATE","P1Y","1997",455522.59
"72","TOTALTAX","STATE","P1Y","1998",487915.28
"73","TOTALTAX","STATE","P1Y","1999",515794.18
"74","TOTALTAX","STATE","P1Y","2000",547601.85
"75","TOTALTAX","STATE","P1Y","2001",554455.84
"76","TOTALTAX","STATE","P1Y","2002",538840.76
"77","TOTALTAX","STATE","P1Y","2003",563400.95
"78","TOTALTAX","STATE","P1Y","2004",611896.8
"79","TOTALTAX","STATE","P1Y","2005",682331.12
"80","TOTALTAX","STATE","P1Y","2006",732750.32
"81","TOTALTAX","STATE","P1Y","2007",762570.39
"82","TOTALTAX","STATE","P1Y","2008",768576.77
"83","TOTALTAX","STATE","P1Y","2009",686466.25
"84","TOTALTAX","STATE","P1Y","2010",723859.45
"85","TOTALTAX","STATE","P1Y","2011",775654.25
"86","TOTALTAX","STATE","P1Y","2012",810008.9
"87","TOTALTAX","STATE","P1Y","2013",867741.9
"88","TOTALTAX","STATE","P1Y","2014",891672.25
"89","TOTALTAX","STATE","P1Y","2015",920951.85
"90","TOTALTAX","STATE","P1Y","2016",928070.79
"91","TOTALTAX","STATE","P1Y","2017",954881.07
"92","TOTALTAX","STATE","P1Y","2018",999258.73
"93","TOTALTAX","LOCAL","P1Y","1973",52858
"94","TOTALTAX","LOCAL","P1Y","1974",0
"95","TOTALTAX","LOCAL","P1Y","1975",61064
"96","TOTALTAX","LOCAL","P1Y","1976",0
"97","TOTALTAX","LOCAL","P1Y","1977",74832
"98","TOTALTAX","LOCAL","P1Y","1978",0
"99","TOTALTAX","LOCAL","P1Y","1979",80650
"100","TOTALTAX","LOCAL","P1Y","1980",86436
"101","TOTALTAX","LOCAL","P1Y","1981",94829
"102","TOTALTAX","LOCAL","P1Y","1982",103703
"103","TOTALTAX","LOCAL","P1Y","1983",113202
"104","TOTALTAX","LOCAL","P1Y","1984",123451
"105","TOTALTAX","LOCAL","P1Y","1985",134523
"106","TOTALTAX","LOCAL","P1Y","1986",145055
"107","TOTALTAX","LOCAL","P1Y","1987",158275
"108","TOTALTAX","LOCAL","P1Y","1988",171659
"109","TOTALTAX","LOCAL","P1Y","1989",184534
"110","TOTALTAX","LOCAL","P1Y","1990",213582.38
"111","TOTALTAX","LOCAL","P1Y","1991",230155.75
"112","TOTALTAX","LOCAL","P1Y","1992",241021.19
"113","TOTALTAX","LOCAL","P1Y","1993",247706.7
"114","TOTALTAX","LOCAL","P1Y","1994",263799.18
"115","TOTALTAX","LOCAL","P1Y","1995",270694.89
"116","TOTALTAX","LOCAL","P1Y","1996",283751.8
"117","TOTALTAX","LOCAL","P1Y","1997",300807.93
"118","TOTALTAX","LOCAL","P1Y","1998",314248.24
"119","TOTALTAX","LOCAL","P1Y","1999",332575.7
"120","TOTALTAX","LOCAL","P1Y","2000",353181.15
"121","TOTALTAX","LOCAL","P1Y","2001",367567.92
"122","TOTALTAX","LOCAL","P1Y","2002",392425.64
"123","TOTALTAX","LOCAL","P1Y","2003",417280.45
"124","TOTALTAX","LOCAL","P1Y","2004",454110.28
"125","TOTALTAX","LOCAL","P1Y","2005",496312.64
"126","TOTALTAX","LOCAL","P1Y","2006",530643.43
"127","TOTALTAX","LOCAL","P1Y","2007",564556.18
"128","TOTALTAX","LOCAL","P1Y","2008",570910.14
"129","TOTALTAX","LOCAL","P1Y","2009",583896.52
"130","TOTALTAX","LOCAL","P1Y","2010",587198.26
"131","TOTALTAX","LOCAL","P1Y","2011",595836.25
"132","TOTALTAX","LOCAL","P1Y","2012",609898.21
"133","TOTALTAX","LOCAL","P1Y","2013",628154.04
"134","TOTALTAX","LOCAL","P1Y","2014",656778.59
"135","TOTALTAX","LOCAL","P1Y","2015",677011.53
"136","TOTALTAX","LOCAL","P1Y","2016",705704.49
"137","TOTALTAX","LOCAL","P1Y","2017",739934.45
"138","TOTALTAX","LOCAL","P1Y","2018",770880.87
"139","TOTALTAX","SOCSEC","P1Y","1973",63404
"140","TOTALTAX","SOCSEC","P1Y","1974",75476
"141","TOTALTAX","SOCSEC","P1Y","1975",85039
"142","TOTALTAX","SOCSEC","P1Y","1976",91386
"143","TOTALTAX","SOCSEC","P1Y","1977",107735
"144","TOTALTAX","SOCSEC","P1Y","1978",122748
"145","TOTALTAX","SOCSEC","P1Y","1979",141162
"146","TOTALTAX","SOCSEC","P1Y","1980",159763
"147","TOTALTAX","SOCSEC","P1Y","1981",185373
"148","TOTALTAX","SOCSEC","P1Y","1982",203846
"149","TOTALTAX","SOCSEC","P1Y","1983",211491
"150","TOTALTAX","SOCSEC","P1Y","1984",242555
"151","TOTALTAX","SOCSEC","P1Y","1985",269144
"152","TOTALTAX","SOCSEC","P1Y","1986",289039
"153","TOTALTAX","SOCSEC","P1Y","1987",310185
"154","TOTALTAX","SOCSEC","P1Y","1988",343186
"155","TOTALTAX","SOCSEC","P1Y","1989",370413
"156","TOTALTAX","SOCSEC","P1Y","1990",396972
"157","TOTALTAX","SOCSEC","P1Y","1991",415220
"158","TOTALTAX","SOCSEC","P1Y","1992",437751
"159","TOTALTAX","SOCSEC","P1Y","1993",458174
"160","TOTALTAX","SOCSEC","P1Y","1994",487580
"161","TOTALTAX","SOCSEC","P1Y","1995",510476
"162","TOTALTAX","SOCSEC","P1Y","1996",533666
"163","TOTALTAX","SOCSEC","P1Y","1997",565504
"164","TOTALTAX","SOCSEC","P1Y","1998",602915
"165","TOTALTAX","SOCSEC","P1Y","1999",638518
"166","TOTALTAX","SOCSEC","P1Y","2000",683104
"167","TOTALTAX","SOCSEC","P1Y","2001",707932
"168","TOTALTAX","SOCSEC","P1Y","2002",723678.9
"169","TOTALTAX","SOCSEC","P1Y","2003",748486.2
"170","TOTALTAX","SOCSEC","P1Y","2004",794037.9
"171","TOTALTAX","SOCSEC","P1Y","2005",831410
"172","TOTALTAX","SOCSEC","P1Y","2006",873157.7
"173","TOTALTAX","SOCSEC","P1Y","2007",907357.4
"174","TOTALTAX","SOCSEC","P1Y","2008",930149
"175","TOTALTAX","SOCSEC","P1Y","2009",902378.7
"176","TOTALTAX","SOCSEC","P1Y","2010",917409.1
"177","TOTALTAX","SOCSEC","P1Y","2011",847151.7
"178","TOTALTAX","SOCSEC","P1Y","2012",880301.3
"179","TOTALTAX","SOCSEC","P1Y","2013",1030098.7
"180","TOTALTAX","SOCSEC","P1Y","2014",1077038.6
"181","TOTALTAX","SOCSEC","P1Y","2015",1126110.8
"182","TOTALTAX","SOCSEC","P1Y","2016",1153644.5
"183","TOTALTAX","SOCSEC","P1Y","2017",1204452.7
"184","TOTALTAX","SOCSEC","P1Y","2018",1256673
"185","TOTALTAX","NES","P1Y","1965",167022
"186","TOTALTAX","NES","P1Y","1966",186065
"187","TOTALTAX","NES","P1Y","1967",208577
"188","TOTALTAX","NES","P1Y","1968",218623
"189","TOTALTAX","NES","P1Y","1969",261468
"190","TOTALTAX","NES","P1Y","1970",276727
"191","TOTALTAX","NES","P1Y","1971",278738
"192","TOTALTAX","NES","P1Y","1972",313091
"193","TOTALTAX","NES","P1Y","1973",348794
"194","TOTALTAX","NES","P1Y","1974",389542
"195","TOTALTAX","NES","P1Y","1975",415386
"196","TOTALTAX","NES","P1Y","1976",450017
"197","TOTALTAX","NES","P1Y","1977",525970
"198","TOTALTAX","NES","P1Y","1978",588261
"199","TOTALTAX","NES","P1Y","1979",662519
"200","TOTALTAX","NES","P1Y","1980",730672
"201","TOTALTAX","NES","P1Y","1981",832930
"202","TOTALTAX","NES","P1Y","1982",871205
"203","TOTALTAX","NES","P1Y","1983",872628
"204","TOTALTAX","NES","P1Y","1984",973472
"205","TOTALTAX","NES","P1Y","1985",1069914
"206","TOTALTAX","NES","P1Y","1986",1127958
"207","TOTALTAX","NES","P1Y","1987",1247323
"208","TOTALTAX","NES","P1Y","1988",1334154
"209","TOTALTAX","NES","P1Y","1989",1447778
"210","TOTALTAX","NES","P1Y","1990",1552412.64
