ID,Date,Outlook,Temperature,Humidity,Windy,Decision
1,9/1/2017,Sunny,Hot,High,FALSE,No
2,9/8/2017,Sunny,Hot,High,TRUE,No
3,9/15/2017,Overcast,Hot,High,FALSE,Yes
4,9/22/2017,Rainy,Mild,High,FALSE,Yes
5,9/29/2017,Rainy,Cool,Normal,FALSE,Yes
6,10/1/2017,Rainy,Cool,Normal,TRUE,No
7,10/8/2017,Overcast,Cool,Normal,TRUE,Yes
8,10/15/2017,Sunny,Mild,High,FALSE,No
9,10/22/2017,Sunny,Cool,Normal,FALSE,Yes
10,10/29/2017,Rainy,Mild,Normal,FALSE,Yes
11,11/1/2017,Sunny,Mild,Normal,TRUE,Yes
12,11/8/2017,Overcast,Mild,High,TRUE,Yes
13,11/15/2017,Overcast,Hot,Normal,FALSE,Yes
14,11/22/2017,Rainy,Mild,High,TRUE,No
15,11/29/2017,Rainy,Hot,High,FALSE,Yes
